caso_id,grupo,categoria,repeticion,nivel_esperado,nivel_permitido,nivel_llm,nivel_reglas,nivel_final,coincide,desvio,tiempo_respuesta,tokens_consumidos,n_recuperaciones,top1_archivo,top1_pagina,top1_score,error
C-01,,neonatal,1,naranja,naranja,rojo,naranja,rojo,False,1,3.008,1618,0,,,,
C-02,,respiratoria_pediatrica,1,naranja,naranja|rojo,naranja,naranja,naranja,True,0,2.084,1510,0,,,,
C-03,,respiratoria_pediatrica,1,verde,verde|azul,verde,,verde,True,0,1.823,1419,0,,,,
C-04,,respiratoria_pediatrica,1,amarillo,amarillo|verde,amarillo,,amarillo,True,0,9.772,1807,0,,,,
C-05,,gastrointestinal,1,amarillo,amarillo|naranja,naranja,,naranja,False,1,12.775,1796,0,,,,
C-06,,ginecologia,1,azul,azul|verde|amarillo,verde,,verde,False,1,13.269,1600,0,,,,
C-07,,neurologica,1,verde,verde|azul,verde,,verde,True,0,12.155,1518,0,,,,
C-08,,traumatologia,1,naranja,naranja|rojo,naranja,,naranja,True,0,11.101,1417,0,,,,
C-09,,quirurgica,1,naranja,naranja|rojo,naranja,naranja,naranja,True,0,10.065,1407,0,,,,
C-10,,cardiovascular,1,amarillo,amarillo|naranja,amarillo,,amarillo,True,0,11.661,1717,0,,,,
A-01,,capciosa,1,,,verde,,verde,,,12.094,1428,0,,,,
A-02,,capciosa,1,,,verde,,verde,,,10.532,1614,0,,,,
A-03,,capciosa,1,,,amarillo,naranja,naranja,,,12.273,1506,0,,,,
A-04,,contradictoria,1,,,rojo,,rojo,,,10.859,1309,0,,,,
A-05,,contradictoria,1,,,verde,,verde,,,10.08,1296,0,,,,
