caso_id,grupo,categoria,repeticion,nivel_esperado,nivel_permitido,nivel_llm,nivel_reglas,nivel_final,coincide,desvio,tiempo_respuesta,tokens_consumidos,n_recuperaciones,top1_archivo,top1_pagina,top1_score,error
C-01,,neonatal,1,naranja,naranja,rojo,naranja,rojo,False,1,4.355,4563,5,NNAC-2012-parte2.pdf,1155,0.3415039972696312,
C-02,,respiratoria_pediatrica,1,naranja,naranja|rojo,naranja,naranja,naranja,True,0,12.14,5170,5,NNAC-2012-parte1.pdf,350,0.3493596869217938,
C-03,,respiratoria_pediatrica,1,verde,verde|azul,verde,,verde,True,0,19.49,2840,5,NNAC-2012-parte1.pdf,122,0.30862504507301075,
C-04,,respiratoria_pediatrica,1,amarillo,amarillo|verde,amarillo,,amarillo,True,0,39.715,5316,5,NNAC-urgencias-emergencias.pdf,118,0.36326174108082193,
C-05,,gastrointestinal,1,amarillo,amarillo|naranja,amarillo,,amarillo,True,0,54.33,6940,5,NNAC-2012-parte1.pdf,279,0.3012961495115999,
C-06,,ginecologia,1,azul,azul|verde|amarillo,verde,,verde,False,1,46.936,6728,5,NNAC-2012-parte2.pdf,998,0.3949505251074204,
C-07,,neurologica,1,verde,verde|azul,verde,,verde,True,0,53.578,7130,5,NNAC-medicina-interna.pdf,112,0.2851131321288937,
C-08,,traumatologia,1,naranja,naranja|rojo,naranja,,naranja,True,0,58.578,8240,5,NNAC-urgencias-emergencias.pdf,272,0.32484467762915525,
C-09,,quirurgica,1,naranja,naranja|rojo,rojo,naranja,rojo,False,1,41.526,5353,5,NNAC-medicina-interna.pdf,112,0.43766121143582276,
C-10,,cardiovascular,1,amarillo,amarillo|naranja,rojo,,rojo,False,2,36.904,5384,5,NNAC-2012-parte2.pdf,1495,0.4099181713049708,
A-01,,capciosa,1,,,verde,,verde,,,34.966,4460,5,NNAC-2012-parte1.pdf,266,0.4298819687116885,
A-02,,capciosa,1,,,verde,,verde,,,34.265,4602,5,NNAC-pediatria.pdf,102,0.4124789237322456,
A-03,,capciosa,1,,,amarillo,naranja,naranja,,,33.223,4624,5,NNAC-2012-parte1.pdf,328,0.43594077051350966,
A-04,,contradictoria,1,,,rojo,,rojo,,,53.219,7211,5,NNAC-2012-parte2.pdf,1045,0.3769044772112376,
A-05,,contradictoria,1,,,verde,,verde,,,37.188,5571,5,NNAC-2012-parte1.pdf,122,0.36277381449891605,
