caso_id,titulo,nivel_esperado,nivel_sistema,calificacion,comentario
C-01,Onfalitis en recién nacido de 21 días,naranja,rojo,,
C-02,Bronquiolitis en lactante de 7 meses,naranja,naranja,,
C-03,Cuadro catarral leve en lactante de 3 meses (regresión pediátrica),verde,verde,,
C-04,Crisis asmática leve en escolar,amarillo,amarillo,,
C-05,Enfermedad diarreica aguda en escolar con deshidratación moderada,amarillo,amarillo,,
C-06,Dismenorrea en adolescente,azul,verde,,
C-07,Cefalea tensional en adolescente,verde,verde,,
C-08,Quemadura de segundo grado del 15 % de superficie corporal,naranja,naranja,,
C-09,Sospecha de apendicitis aguda en adulto,naranja,rojo,,
C-10,Hipertensión arterial severa asintomática,amarillo,rojo,,
C-11,Cuadro catarral leve con hallazgos negados (caso de la falla reportada),verde,verde,,
C-12,Sangrado vaginal en gestante de 32 semanas,naranja,amarillo,,
C-13,Accidente bothrópico por mordedura de serpiente,rojo,rojo,,
C-14,Diabetes descompensada sin criterios de cetoacidosis,amarillo,amarillo,,
C-15,Hipotensión severa en adulto mayor,rojo,rojo,,
C-16,Exacerbación de EPOC con hipoxemia severa,rojo,rojo,,
C-17,Hipertensión en control en adulto mayor,verde,verde,,
C-18,Convulsión febril en preescolar,naranja,naranja,,
C-19,Neumonía adquirida en la comunidad sin signos de gravedad,amarillo,amarillo,,
C-20,Lumbalgia mecánica sin signos de alarma,verde,verde,,
