item,enunciado,respuesta_1_a_5
1,Creo que me gustaría usar este sistema con frecuencia.,
2,Encontré el sistema innecesariamente complejo.,
3,Pensé que el sistema era fácil de usar.,
4,Creo que necesitaría apoyo técnico para poder usar este sistema.,
5,Encontré que las distintas funciones del sistema estaban bien integradas.,
6,Pensé que había demasiada inconsistencia en el sistema.,
7,Imagino que la mayoría de la gente aprendería a usar este sistema muy rápidamente.,
8,Encontré el sistema muy engorroso de usar.,
9,Me sentí muy confiado al usar el sistema.,
10,Necesité aprender muchas cosas antes de poder empezar a usar el sistema.,
